nome,cpf,idade,data,endereco,estado
,869.753.102-03,17,,"alameda de lopes
paraíso
47514-612 castro / sc",piauí
Juan Aragão,529.740.631-52,13,2011-01-02,"colônia de cunha, 89
vila ecológica
62972607 brito / rs",rio grande do norte
Brayan Sousa,052.731.968-68,9,2015-03-13,"condomínio ana liz lima, 484
nova pampulha
72177376 mendonça / am",distrito federal
Bento Carvalho,981.304.625-24,18,2006-01-19,"pátio heloísa brito, 43
lourdes
94515359 cavalcante do amparo / rn",santa catarina
Henry Gabriel Montenegro,126.837.059-21,10,2013-10-25,"campo alves, 218
vila santa monica 2ª seção
98411596 mendonça / ma",tocantins
Gael Albuquerque,840.723.916-03,5,2018-09-27,"viela de gonçalves, 71
vila jardim alvorada
98934-165 fogaça da praia / ap",mato grosso
Maria Clara Viana,423.015.976-52,7,2017-02-21,"lago azevedo, 7
tupi a
24326124 rezende / ma",tocantins
Aurora Araújo,457.962.310-06,14,2009-09-17,Endereço inválido,maranhão
Cecilia Camargo,562.934.701-25,7,2016-10-09,"setor da rosa, 712
carlos prates
92862-237 martins / pe",piauí
,472.189.653-00,6,2017-12-01,"trevo de garcia, 3
vila calafate
28613094 cunha / pb",goiás
Pedro Costa,475.168.092-76,6,2018-02-26,"praça ana cecília rodrigues, 77
brasil industrial
09508281 melo / am",santa catarina
Raul Da Paz,753.921.684-00,17,2007-02-09,"pátio da luz
vila ouro minas
59647-331 fogaça do galho / pe",são paulo
Mirella Melo,938.275.041-04,6,2018-01-06,"trevo maria eduarda peixoto, 83
jardim felicidade
22315-148 lopes / pa",tocantins
Eduardo Pimenta,946.532.801-42,9,,"sítio andrade
das industrias i
54665-695 pires / ro",espírito santo
Ian Machado,078.394.526-47,18,2006-05-25,"esplanada de rocha, 7
gameleira
35391976 lopes de aparecida / es",pernambuco
Matheus Vasconcelos,804.123.967-69,6,2017-11-22,"lagoa vasconcelos
alto dos pinheiros
75644377 da paz de sá / pi",rondônia
Raul Brito,907.643.125-61,9,2014-11-24,"condomínio peixoto, 81
vila santo antônio barroquinha
92753084 peixoto / al",espírito santo
Gabriela Da Cunha,754.012.986-76,5,2019-04-14,Endereço inválido,paraná
,510.936.472-99,16,,Endereço inválido,distrito federal
Sr. Enrico Rodrigues,590.432.786-29,14,2010-08-16,"trevo sales, 62
jardim américa
31676-213 da paz do sul / rr",são paulo
Isabela Duarte,614.295.780-76,5,2019-02-02,"rua eduarda pires, 543
são luiz
56782-340 peixoto / am",mato grosso do sul
Caroline Martins,214.068.793-04,13,2010-10-28,"esplanada liz ribeiro, 6
vila barragem santa lúcia
55737304 cirino grande / rs",Desconhecido
Mariana Marques,697.154.083-20,18,2006-07-29,"jardim bella da mota, 14
vera cruz
43319008 barros do norte / es",sergipe
Dom Da Conceição,350.274.198-05,18,2006-02-22,Endereço inválido,piauí
Maysa Novais,671.549.280-85,6,2018-01-27,Endereço inválido,pernambuco
Dr. Daniel Da Paz,409.875.126-76,5,2019-01-13,"quadra de silva, 65
belvedere
40804994 machado da praia / se",minas gerais
Isadora Borges,972.546.831-73,9,,"núcleo de borges
mariano de abreu
76991-939 da cunha / ap",roraima
Lorenzo Freitas,743.650.182-80,11,2013-07-14,"loteamento sampaio, 776
vila novo são lucas
09032-122 machado / al",piauí
Dr. Arthur Miguel Farias,046.173.958-57,10,2014-06-10,"morro de ramos, 54
maria tereza
11579344 araújo alegre / pi",paraíba
Dr. Guilherme Monteiro,287.149.530-05,16,2008-03-03,Endereço inválido,minas gerais
