nome,cpf,idade,data,endereco,bairro,estado
,869.***.*** - 03,0.0,,"alameda de lopes
paraíso
47514-612 castro / sc",paraíso,SC
Juan Aragão,529.***.*** - 52,0.0,2011-01-02,"colônia de cunha, 89
vila ecológica
62972607 brito / rs",vila ecológica,RS
Brayan Sousa,052.***.*** - 68,0.0,2015-03-13,"condomínio ana liz lima, 484
nova pampulha
72177376 mendonça / am",nova pampulha,AM
Bento Carvalho,981.***.*** - 24,0.0,2006-01-19,"pátio heloísa brito, 43
lourdes
94515359 cavalcante do amparo / rn",lourdes,RN
Henry Gabriel Montenegro,126.***.*** - 21,-1.0,2013-10-25,"campo alves, 218
vila santa monica 2ª seção
98411596 mendonça / ma",vila santa monica 2ª seção,MA
Gael Albuquerque,840.***.*** - 03,-1.0,2018-09-27,Desconhecido,vila jardim alvorada,AP
Maria Clara Viana,423.***.*** - 52,0.0,2017-02-21,"lago azevedo, 7
tupi a
24326124 rezende / ma",tupi a,MA
Aurora Araújo,457.***.*** - 06,-1.0,2009-09-17,Endereço inválido,Desconhecido,Desconhecido
Cecilia Camargo,562.***.*** - 25,-1.0,2016-10-09,"setor da rosa, 712
carlos prates
92862-237 martins / pe",carlos prates,PE
,472.***.*** - 00,0.0,2017-12-01,"trevo de garcia, 3
vila calafate
28613094 cunha / pb",vila calafate,PB
Pedro Costa,475.***.*** - 76,0.0,2018-02-26,"praça ana cecília rodrigues, 77
brasil industrial
09508281 melo / am",brasil industrial,AM
Raul Da Paz,753.***.*** - 00,0.0,2007-02-09,"pátio da luz
vila ouro minas
59647-331 fogaça do galho / pe",vila ouro minas,PE
Mirella Melo,938.***.*** - 04,0.0,2018-01-06,"trevo maria eduarda peixoto, 83
jardim felicidade
22315-148 lopes / pa",jardim felicidade,PA
Eduardo Pimenta,946.***.*** - 42,0.0,,"sítio andrade
das industrias i
54665-695 pires / ro",das industrias i,RO
Ian Machado,078.***.*** - 47,0.0,2006-05-25,"esplanada de rocha, 7
gameleira
35391976 lopes de aparecida / es",gameleira,ES
Matheus Vasconcelos,804.***.*** - 69,-1.0,2017-11-22,"lagoa vasconcelos
alto dos pinheiros
75644377 da paz de sá / pi",alto dos pinheiros,PI
Raul Brito,907.***.*** - 61,-1.0,2014-11-24,Desconhecido,vila santo antônio barroquinha,AL
Gabriela Da Cunha,754.***.*** - 76,0.0,2019-04-14,Endereço inválido,Desconhecido,Desconhecido
,510.***.*** - 99,0.0,,Endereço inválido,Desconhecido,Desconhecido
Sr. Enrico Rodrigues,590.***.*** - 29,0.0,2010-08-16,"trevo sales, 62
jardim américa
31676-213 da paz do sul / rr",jardim américa,RR
Isabela Duarte,614.***.*** - 76,0.0,2019-02-02,"rua eduarda pires, 543
são luiz
56782-340 peixoto / am",são luiz,AM
Caroline Martins,214.***.*** - 04,-1.0,2010-10-28,Desconhecido,vila barragem santa lúcia,RS
Mariana Marques,697.***.*** - 20,0.0,2006-07-29,"jardim bella da mota, 14
vera cruz
43319008 barros do norte / es",vera cruz,ES
Dom Da Conceição,350.***.*** - 05,0.0,2006-02-22,Endereço inválido,Desconhecido,Desconhecido
Maysa Novais,671.***.*** - 85,0.0,2018-01-27,Endereço inválido,Desconhecido,Desconhecido
Dr. Daniel Da Paz,409.***.*** - 76,0.0,2019-01-13,"quadra de silva, 65
belvedere
40804994 machado da praia / se",belvedere,SE
Isadora Borges,972.***.*** - 73,0.0,,"núcleo de borges
mariano de abreu
76991-939 da cunha / ap",mariano de abreu,AP
Lorenzo Freitas,743.***.*** - 80,0.0,2013-07-14,"loteamento sampaio, 776
vila novo são lucas
09032-122 machado / al",vila novo são lucas,AL
Dr. Arthur Miguel Farias,046.***.*** - 57,0.0,2014-06-10,"morro de ramos, 54
maria tereza
11579344 araújo alegre / pi",maria tereza,PI
Dr. Guilherme Monteiro,287.***.*** - 05,0.0,2008-03-03,Endereço inválido,Desconhecido,Desconhecido
Noah Da Rocha,934.***.*** - 16,-1.0,2010-10-30,"vale de sales, 63
mangabeiras
39697-343 ribeiro / go",mangabeiras,GO
Caleb Ramos,023.***.*** - 74,0.0,2014-04-03,"praia julia moraes
pedreira padro lopes
86129629 rocha / pa",pedreira padro lopes,PA
Arthur Gabriel Pires,752.***.*** - 01,0.0,2017-06-27,"esplanada diogo porto, 116
graça
31153-561 da rosa / es",graça,ES
Luiz Henrique Duarte,391.***.*** - 99,0.0,2008-03-13,"avenida de castro, 49
universitário
38007-901 camargo / rj",universitário,RJ
Ana Vitória Cassiano,840.***.*** - 01,0.0,2011-04-27,Desconhecido,vila jardim montanhes,RR
Dante Cirino,254.***.*** - 30,0.0,2010-05-10,"aeroporto de moreira, 63
heliopolis
00737849 das neves / ba",heliopolis,BA
Manuela Vieira,890.***.*** - 68,-1.0,2004-09-11,"morro sousa, 17
mirante
56585856 casa grande / go",mirante,GO
Dr. Rodrigo Viana,842.***.*** - 50,0.0,2010-06-21,Desconhecido,vila bandeirantes,SE
,186.***.*** - 33,0.0,2015-03-17,"praça de fogaça, 382
granja de freitas
93499-924 cunha / ma",granja de freitas,MA
Kaique Moura,249.***.*** - 96,0.0,2005-09-01,"pátio campos, 3
flavio marques lisboa
19129539 da paz de goiás / mt",flavio marques lisboa,MT
Ryan Andrade,129.***.*** - 02,0.0,2019-07-16,"setor kevin andrade, 83
belmonte
17256-150 da mata das pedras / mt",belmonte,MT
Thiago Nogueira,819.***.*** - 05,0.0,2008-01-19,"aeroporto liz novaes, 381
eymard
41524-030 monteiro / ap",eymard,AP
Rebeca Sá,586.***.*** - 20,-1.0,2007-09-19,"largo kamilly jesus, 9
belmonte
71157538 fogaça / ap",belmonte,AP
Emanuella Teixeira,162.***.*** - 94,0.0,2010-03-10,Desconhecido,vila trinta e um de março,PR
Thomas Vargas,625.***.*** - 33,-1.0,2014-10-14,"estação moraes, 33
jardim leblon
31092089 moraes de leão / ba",jardim leblon,BA
Ísis Casa Grande,312.***.*** - 19,0.0,,"travessa davi miguel vieira, 166
capitão eduardo
86296-121 dias / rn",capitão eduardo,RN
Srta. Marcela Teixeira,842.***.*** - 26,-1.0,2010-11-23,Endereço inválido,Desconhecido,Desconhecido
